[2024-08-04T16:19:10.573+0300][0.005s][info][gc] Using G1
[2024-08-04T16:19:10.574+0300][0.006s][debug][gc] ConcGCThreads: 3 offset 22
[2024-08-04T16:19:10.574+0300][0.006s][debug][gc] ParallelGCThreads: 10
[2024-08-04T16:19:10.574+0300][0.007s][debug][gc] Initialize mark stack with 4096 chunks, maximum 524288
[2024-08-04T16:19:10.740+0300][0,172s][info ][gc] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 84M->23M(1536M) 14,636ms
[2024-08-04T16:19:10.781+0300][0,213s][info ][gc] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 98M->46M(1536M) 23,270ms
[2024-08-04T16:19:10.828+0300][0,260s][info ][gc] GC(2) Pause Young (Normal) (G1 Evacuation Pause) 119M->68M(1536M) 15,958ms
[2024-08-04T16:19:10.870+0300][0,302s][info ][gc] GC(3) Pause Young (Normal) (G1 Evacuation Pause) 137M->83M(1536M) 14,308ms
[2024-08-04T16:19:10.943+0300][0,375s][info ][gc] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 189M->115M(1536M) 22,191ms
[2024-08-04T16:19:11.023+0300][0,455s][info ][gc] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 235M->153M(1536M) 29,304ms
[2024-08-04T16:19:11.116+0300][0,548s][info ][gc] GC(6) Pause Young (Normal) (G1 Evacuation Pause) 300M->185M(1536M) 21,422ms
[2024-08-04T16:19:11.220+0300][0,652s][info ][gc] GC(7) Pause Young (Normal) (G1 Evacuation Pause) 358M->240M(1536M) 28,458ms
[2024-08-04T16:19:11.359+0300][0,791s][info ][gc] GC(8) Pause Young (Normal) (G1 Evacuation Pause) 463M->316M(1536M) 37,808ms
[2024-08-04T16:19:11.529+0300][0,961s][info ][gc] GC(9) Pause Young (Normal) (G1 Evacuation Pause) 575M->360M(1536M) 29,950ms
[2024-08-04T16:19:12.155+0300][1,587s][info ][gc] GC(10) Pause Young (Normal) (G1 Evacuation Pause) 1245M->344M(1536M) 18,236ms
[2024-08-04T16:19:12.615+0300][2,047s][info ][gc] GC(11) Pause Young (Normal) (G1 Evacuation Pause) 1245M->523M(1536M) 103,733ms
[2024-08-04T16:19:12.994+0300][2,426s][info ][gc] GC(12) Pause Young (Normal) (G1 Evacuation Pause) 1307M->561M(1536M) 65,580ms
[2024-08-04T16:19:13.337+0300][2,769s][info ][gc] GC(13) Pause Young (Normal) (G1 Evacuation Pause) 1272M->541M(1536M) 58,863ms
[2024-08-04T16:19:13.654+0300][3,086s][info ][gc] GC(14) Pause Young (Normal) (G1 Evacuation Pause) 1270M->486M(1536M) 26,237ms
[2024-08-04T16:19:14.074+0300][3,506s][info ][gc] GC(15) Pause Young (Normal) (G1 Evacuation Pause) 1297M->648M(1536M) 99,904ms
[2024-08-04T16:19:14.398+0300][3,831s][info ][gc] GC(16) Pause Young (Normal) (G1 Evacuation Pause) 1287M->668M(1536M) 68,052ms
[2024-08-04T16:19:14.664+0300][4,096s][info ][gc] GC(17) Pause Young (Normal) (G1 Evacuation Pause) 1276M->620M(1536M) 21,565ms
[2024-08-04T16:19:15.009+0300][4,442s][info ][gc] GC(18) Pause Young (Normal) (G1 Evacuation Pause) 1294M->756M(1536M) 78,862ms
[2024-08-04T16:19:15.269+0300][4,701s][info ][gc] GC(19) Pause Young (Normal) (G1 Evacuation Pause) 1305M->756M(1536M) 38,108ms
[2024-08-04T16:19:15.577+0300][5,009s][info ][gc] GC(20) Pause Young (Normal) (G1 Evacuation Pause) 1307M->868M(1536M) 87,689ms
[2024-08-04T16:19:15.799+0300][5,231s][info ][gc] GC(21) Pause Young (Concurrent Start) (G1 Evacuation Pause) 1328M->879M(1536M) 36,352ms
[2024-08-04T16:19:15.799+0300][5,231s][info ][gc] GC(22) Concurrent Mark Cycle
[2024-08-04T16:19:15.840+0300][5,272s][debug][gc] GC(22) Reclaimed 747 empty regions
[2024-08-04T16:19:15.840+0300][5,272s][info ][gc] GC(22) Pause Remark 962M->215M(1536M) 1,000ms
[2024-08-04T16:19:15.849+0300][5,281s][info ][gc] GC(22) Pause Cleanup 237M->237M(1536M) 0,188ms
[2024-08-04T16:19:15.856+0300][5,289s][info ][gc] GC(22) Concurrent Mark Cycle 57,862ms
[2024-08-04T16:19:16.067+0300][5,499s][info ][gc] GC(23) Pause Young (Prepare Mixed) (G1 Evacuation Pause) 584M->224M(1536M) 79,378ms
[2024-08-04T16:19:16.482+0300][5,915s][info ][gc] GC(24) Pause Young (Mixed) (G1 Evacuation Pause) 1080M->307M(1536M) 73,271ms
[2024-08-04T16:19:16.862+0300][6,295s][info ][gc] GC(25) Pause Young (Normal) (G1 Evacuation Pause) 1112M->300M(1536M) 59,185ms
[2024-08-04T16:19:17.231+0300][6,663s][info ][gc] GC(26) Pause Young (Normal) (G1 Evacuation Pause) 1112M->261M(1536M) 44,952ms
[2024-08-04T16:19:17.596+0300][7,028s][info ][gc] GC(27) Pause Young (Normal) (G1 Evacuation Pause) 1112M->229M(1536M) 25,630ms
[2024-08-04T16:19:17.961+0300][7,393s][info ][gc] GC(28) Pause Young (Normal) (G1 Evacuation Pause) 1112M->205M(1536M) 13,139ms
[2024-08-04T16:19:18.415+0300][7,847s][info ][gc] GC(29) Pause Young (Normal) (G1 Evacuation Pause) 1112M->385M(1536M) 95,879ms
