[2024-08-04T21:09:32.137+0300][0.003s][info][gc] Using G1
[2024-08-04T21:09:32.138+0300][0.004s][debug][gc] ConcGCThreads: 3 offset 22
[2024-08-04T21:09:32.138+0300][0.004s][debug][gc] ParallelGCThreads: 10
[2024-08-04T21:09:32.138+0300][0.004s][debug][gc] Initialize mark stack with 4096 chunks, maximum 524288
[2024-08-04T21:09:32.302+0300][0,168s][info ][gc] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 84M->23M(1536M) 18,374ms
[2024-08-04T21:09:32.346+0300][0,212s][info ][gc] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 98M->46M(1536M) 25,494ms
[2024-08-04T21:09:32.399+0300][0,265s][info ][gc] GC(2) Pause Young (Normal) (G1 Evacuation Pause) 119M->68M(1536M) 22,083ms
[2024-08-04T21:09:32.443+0300][0,310s][info ][gc] GC(3) Pause Young (Normal) (G1 Evacuation Pause) 135M->83M(1536M) 17,156ms
[2024-08-04T21:09:32.516+0300][0,382s][info ][gc] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 187M->114M(1536M) 22,328ms
[2024-08-04T21:09:32.601+0300][0,467s][info ][gc] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 234M->153M(1536M) 33,394ms
[2024-08-04T21:09:32.704+0300][0,570s][info ][gc] GC(6) Pause Young (Normal) (G1 Evacuation Pause) 298M->184M(1536M) 32,976ms
[2024-08-04T21:09:32.812+0300][0,678s][info ][gc] GC(7) Pause Young (Normal) (G1 Evacuation Pause) 349M->238M(1536M) 38,928ms
[2024-08-04T21:09:32.996+0300][0,862s][info ][gc] GC(8) Pause Young (Normal) (G1 Evacuation Pause) 489M->319M(1536M) 57,624ms
[2024-08-04T21:09:33.154+0300][1,020s][info ][gc] GC(9) Pause Young (Normal) (G1 Evacuation Pause) 556M->361M(1536M) 44,869ms
[2024-08-04T21:09:33.783+0300][1,649s][info ][gc] GC(10) Pause Young (Normal) (G1 Evacuation Pause) 1248M->344M(1536M) 17,940ms
[2024-08-04T21:09:34.249+0300][2,115s][info ][gc] GC(11) Pause Young (Normal) (G1 Evacuation Pause) 1247M->525M(1536M) 108,157ms
[2024-08-04T21:09:34.641+0300][2,508s][info ][gc] GC(12) Pause Young (Normal) (G1 Evacuation Pause) 1308M->563M(1536M) 76,754ms
[2024-08-04T21:09:34.989+0300][2,855s][info ][gc] GC(13) Pause Young (Normal) (G1 Evacuation Pause) 1271M->543M(1536M) 63,977ms
[2024-08-04T21:09:35.306+0300][3,172s][info ][gc] GC(14) Pause Young (Normal) (G1 Evacuation Pause) 1270M->487M(1536M) 26,486ms
[2024-08-04T21:09:35.725+0300][3,591s][info ][gc] GC(15) Pause Young (Normal) (G1 Evacuation Pause) 1297M->648M(1536M) 98,180ms
[2024-08-04T21:09:36.046+0300][3,912s][info ][gc] GC(16) Pause Young (Normal) (G1 Evacuation Pause) 1288M->667M(1536M) 65,127ms
[2024-08-04T21:09:36.319+0300][4,185s][info ][gc] GC(17) Pause Young (Normal) (G1 Evacuation Pause) 1277M->618M(1536M) 28,258ms
[2024-08-04T21:09:36.677+0300][4,543s][info ][gc] GC(18) Pause Young (Normal) (G1 Evacuation Pause) 1296M->754M(1536M) 90,014ms
[2024-08-04T21:09:36.935+0300][4,801s][info ][gc] GC(19) Pause Young (Normal) (G1 Evacuation Pause) 1306M->751M(1536M) 36,740ms
[2024-08-04T21:09:37.243+0300][5,110s][info ][gc] GC(20) Pause Young (Normal) (G1 Evacuation Pause) 1306M->865M(1536M) 88,867ms
[2024-08-04T21:09:37.482+0300][5,348s][info ][gc] GC(21) Pause Young (Concurrent Start) (G1 Evacuation Pause) 1327M->875M(1536M) 52,486ms
[2024-08-04T21:09:37.482+0300][5,348s][info ][gc] GC(22) Concurrent Mark Cycle
[2024-08-04T21:09:37.523+0300][5,389s][debug][gc] GC(22) Reclaimed 742 empty regions
[2024-08-04T21:09:37.523+0300][5,390s][info ][gc] GC(22) Pause Remark 960M->218M(1536M) 0,899ms
[2024-08-04T21:09:37.532+0300][5,399s][info ][gc] GC(22) Pause Cleanup 240M->240M(1536M) 0,216ms
[2024-08-04T21:09:37.540+0300][5,407s][info ][gc] GC(22) Concurrent Mark Cycle 58,551ms
[2024-08-04T21:09:37.747+0300][5,614s][info ][gc] GC(23) Pause Young (Prepare Mixed) (G1 Evacuation Pause) 587M->227M(1536M) 75,541ms
[2024-08-04T21:09:38.184+0300][6,050s][info ][gc] GC(24) Pause Young (Mixed) (G1 Evacuation Pause) 1082M->310M(1536M) 95,678ms
[2024-08-04T21:09:38.574+0300][6,440s][info ][gc] GC(25) Pause Young (Normal) (G1 Evacuation Pause) 1115M->304M(1536M) 68,524ms
[2024-08-04T21:09:38.945+0300][6,811s][info ][gc] GC(26) Pause Young (Normal) (G1 Evacuation Pause) 1115M->265M(1536M) 46,046ms
[2024-08-04T21:09:39.312+0300][7,178s][info ][gc] GC(27) Pause Young (Normal) (G1 Evacuation Pause) 1115M->234M(1536M) 26,744ms
[2024-08-04T21:09:39.678+0300][7,544s][info ][gc] GC(28) Pause Young (Normal) (G1 Evacuation Pause) 1115M->208M(1536M) 13,935ms
[2024-08-04T21:09:40.133+0300][7,999s][info ][gc] GC(29) Pause Young (Normal) (G1 Evacuation Pause) 1115M->389M(1536M) 95,569ms
