[2024-08-04T17:50:01.173+0300][0.003s][info][gc] Using G1
[2024-08-04T17:50:01.173+0300][0.004s][debug][gc] ConcGCThreads: 3 offset 22
[2024-08-04T17:50:01.173+0300][0.004s][debug][gc] ParallelGCThreads: 10
[2024-08-04T17:50:01.174+0300][0.004s][debug][gc] Initialize mark stack with 4096 chunks, maximum 524288
[2024-08-04T17:50:01.449+0300][0,280s][info ][gc] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 103M->2M(2048M) 4,299ms
[2024-08-04T17:50:01.492+0300][0,322s][info ][gc] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 132M->2M(2048M) 2,312ms
[2024-08-04T17:50:02.542+0300][1,372s][info ][gc] GC(2) Pause Young (Normal) (G1 Evacuation Pause) 1228M->2M(2048M) 3,569ms
[2024-08-04T17:50:02.843+0300][1,673s][info ][gc] GC(3) Pause Young (Normal) (G1 Evacuation Pause) 1228M->2M(2048M) 3,928ms
[2024-08-04T17:50:03.116+0300][1,947s][info ][gc] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 1228M->2M(2048M) 3,449ms
[2024-08-04T17:50:03.379+0300][2,209s][info ][gc] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 1228M->2M(2048M) 3,338ms
[2024-08-04T17:50:03.628+0300][2,458s][info ][gc] GC(6) Pause Young (Normal) (G1 Evacuation Pause) 1228M->3M(2048M) 3,335ms
[2024-08-04T17:50:03.879+0300][2,709s][info ][gc] GC(7) Pause Young (Normal) (G1 Evacuation Pause) 1228M->3M(2048M) 3,619ms
[2024-08-04T17:50:04.149+0300][2,979s][info ][gc] GC(8) Pause Young (Normal) (G1 Evacuation Pause) 1228M->3M(2048M) 4,051ms
[2024-08-04T17:50:04.390+0300][3,220s][info ][gc] GC(9) Pause Young (Normal) (G1 Evacuation Pause) 1228M->3M(2048M) 3,290ms
[2024-08-04T17:50:04.620+0300][3,450s][info ][gc] GC(10) Pause Young (Normal) (G1 Evacuation Pause) 1228M->3M(2048M) 3,559ms
[2024-08-04T17:50:04.861+0300][3,692s][info ][gc] GC(11) Pause Young (Normal) (G1 Evacuation Pause) 1228M->3M(2048M) 3,688ms
[2024-08-04T17:50:05.104+0300][3,934s][info ][gc] GC(12) Pause Young (Normal) (G1 Evacuation Pause) 1228M->3M(2048M) 3,725ms
